,lab
1439,IGI
1440,IGI
1441,IGI
1442,GIA
1443,IGI
1444,GIA
1445,GIA
1446,GIA
1447,GIA
1448,GIA
1449,GIA
1450,GIA
1451,GIA
1452,GIA
1453,GIA
1454,GIA
1455,GIA
1456,GIA
1457,GIA
1458,GIA
1459,GIA
1460,GIA
1461,GIA
1462,GIA
1463,GIA
1464,GIA
1465,GIA
1466,GIA
1467,GIA
1468,GIA
1469,GIA
1470,IGI
1471,IGI
1472,IGI
1473,IGI
1474,IGI
1475,GIA
1476,GIA
1477,IGI
1478,GIA
1479,GIA
1480,GIA
1481,GIA
1482,GIA
1483,GIA
1484,GIA
1485,GIA
1486,GIA
1487,GIA
1488,GIA
1489,GIA
1490,GIA
1491,GIA
1492,GIA
1493,GIA
1494,GIA
1495,IGI
1496,IGI
1497,GIA
1498,GIA
1499,IGI
1500,IGI
1501,IGI
1502,GIA
1503,GIA
1504,GIA
1505,IGI
1506,IGI
1507,IGI
1508,GIA
1509,GIA
1510,GIA
1511,GIA
1512,GIA
1513,GIA
1514,GIA
1515,GIA
1516,GIA
1517,GIA
1518,GIA
1519,GIA
1520,GIA
1521,GIA
1522,GIA
1523,GIA
1524,GIA
1525,GIA
1526,GIA
1527,GIA
1528,GIA
1529,GIA
1530,GIA
1531,GIA
1532,IGI
1533,IGI
1534,IGI
1535,GIA
1536,GIA
1537,GIA
1538,GIA
1539,GIA
1540,GIA
1541,GIA
1542,GIA
1543,IGI
1544,GIA
1545,GIA
1546,GIA
1547,GIA
1548,GIA
1549,GIA
1550,IGI
1551,GIA
1552,GIA
1553,GIA
1554,IGI
1555,GIA
1556,GIA
1557,GIA
1558,GIA
1559,GIA
1560,GIA
1561,GIA
1562,GIA
1563,GIA
1564,GIA
1565,GIA
1566,GIA
1567,GIA
1568,GIA
1569,GIA
1570,GIA
1571,GIA
1572,GIA
1573,GIA
1574,GIA
1575,GIA
1576,IGI
1577,GIA
1578,GIA
1579,GIA
1580,GIA
1581,GIA
1582,GIA
